segment_key,segment_id,segment_name,segment_description
1,MKT001,Integrate Integrated Models,Issue more week no west attention sit. Late usually itself party hope. Make house term artist day.
2,MKT002,Aggregate Scalable Niches,Reflect pick then establish charge box. Might effort daughter.
3,MKT003,Visualize Leading-Edge Bandwidth,Million new course as for left heavy year. Necessary art machine about. Police own tonight.
4,MKT004,Aggregate Collaborative Users,Life ever improve. Bill despite car floor.
5,MKT005,Innovate Ubiquitous Content,Sure herself human carry notice among throughout. Republican color range pay.
6,MKT006,Incubate World-Class Vortals,Remain deal most alone. Pattern husband when season. Letter positive enter financial truth.
7,MKT007,Redefine Viral Markets,Husband education decide. Once hold very own.
8,MKT008,Redefine One-To-One Architectures,Direction history fly itself cost. Matter indicate couple work.
9,MKT009,Leverage Cross-Platform Solutions,Few at through positive nature unit during.
10,MKT010,Scale 24/365 E-Commerce,Interview probably evening create kind. Week maybe dream foot.
11,MKT011,Productize Robust Action-Items,Treatment edge pick position. Offer image religious far conference none alone.
12,MKT012,Unleash Virtual E-Services,How page nor oil fight born far tree. Raise cost develop true.
13,MKT013,Orchestrate Visionary Info-Mediaries,Senior fund paper cell process. Factor hit speak. Daughter per store matter much.
14,MKT014,Drive 24/365 Architectures,"Yet account step senior leave political good wife.
Along world off. Work note rest on."
15,MKT015,Enable Global Schemas,Tell analysis bit arm operation history center. Central expert stage.
